epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,439.411,1.12482,0.94808,0.83154,0.55758,0.67446,0.76685,0.53788,1.11072,1.01477,0.87425,0.0007525,0.0007525,0.0007525
77,444.077,1.1624,0.96829,0.84256,0.78156,0.79954,0.82189,0.54883,1.2109,0.99423,0.88217,0.0007492,0.0007492,0.0007492
78,448.807,1.14861,1.01165,0.83942,0.712,0.67678,0.76014,0.52786,1.18712,0.98849,0.87201,0.0007459,0.0007459,0.0007459
79,453.623,1.13034,0.93679,0.83928,0.54594,0.67065,0.7197,0.45331,1.17804,1.0228,0.87986,0.0007426,0.0007426,0.0007426
80,458.359,1.11476,0.90471,0.84517,0.65163,0.64569,0.75529,0.51606,1.15375,1.00078,0.86953,0.0007393,0.0007393,0.0007393
81,463.385,1.12244,0.89874,0.83317,0.59267,0.67266,0.73749,0.4678,1.23708,1.026,0.86493,0.000736,0.000736,0.000736
82,468.896,1.14095,0.92182,0.83674,0.82258,0.54347,0.66728,0.44219,1.15877,1.01727,0.8724,0.0007327,0.0007327,0.0007327
83,474.308,1.15579,0.91243,0.84038,0.7507,0.64941,0.74243,0.4832,1.29472,0.99698,0.89196,0.0007294,0.0007294,0.0007294
84,478.857,1.07061,0.89428,0.82995,0.78559,0.62413,0.73461,0.49575,1.14595,1.00704,0.86975,0.0007261,0.0007261,0.0007261
85,483.566,1.09406,0.91299,0.84107,0.78757,0.67199,0.77675,0.51773,1.13124,0.94913,0.86949,0.0007228,0.0007228,0.0007228
86,488.474,1.07264,0.87008,0.82594,0.76474,0.65074,0.74811,0.52641,1.10636,0.91816,0.86109,0.0007195,0.0007195,0.0007195
87,493.364,1.07348,0.84604,0.84726,0.69535,0.78689,0.80761,0.58065,1.09955,0.89037,0.86339,0.0007162,0.0007162,0.0007162
88,498.334,1.1332,0.91783,0.82277,0.77093,0.63202,0.75472,0.50347,1.12723,0.958,0.86632,0.0007129,0.0007129,0.0007129
89,503.059,1.11667,0.91112,0.83281,0.78949,0.66292,0.74511,0.50608,1.14891,0.95683,0.86427,0.0007096,0.0007096,0.0007096
90,507.87,1.0663,0.87025,0.82828,0.81183,0.66075,0.77327,0.54662,1.11707,0.88971,0.86606,0.0007063,0.0007063,0.0007063
91,512.853,1.10746,0.86781,0.83582,0.78941,0.63313,0.76987,0.49967,1.23402,0.96217,0.87411,0.000703,0.000703,0.000703
92,518.108,1.11474,0.87931,0.83166,0.78439,0.64777,0.77279,0.52036,1.12215,0.89123,0.86912,0.0006997,0.0006997,0.0006997
93,523.177,1.06339,0.86922,0.83631,0.80081,0.63668,0.78831,0.54006,1.14504,0.91662,0.88229,0.0006964,0.0006964,0.0006964
94,527.859,1.11864,0.86234,0.83949,0.72885,0.70082,0.80933,0.55172,1.26191,1.0104,0.87187,0.0006931,0.0006931,0.0006931
95,532.646,1.13044,0.91168,0.8363,0.80975,0.73329,0.80734,0.60582,1.1293,0.91395,0.86859,0.0006898,0.0006898,0.0006898
96,537.502,1.10254,0.87428,0.83859,0.76079,0.59058,0.76932,0.53549,1.15868,0.99954,0.87812,0.0006865,0.0006865,0.0006865
97,542.486,1.09999,0.8196,0.8338,0.77644,0.63929,0.7505,0.50045,1.23841,0.9962,0.88598,0.0006832,0.0006832,0.0006832
98,547.361,1.05361,0.83247,0.83679,0.64722,0.79742,0.76249,0.52925,1.09787,0.95045,0.87051,0.0006799,0.0006799,0.0006799
99,552.342,1.06918,0.82197,0.83141,0.78187,0.78276,0.85815,0.60472,1.15105,0.91349,0.87899,0.0006766,0.0006766,0.0006766
100,557.052,1.08052,0.80057,0.82665,0.79511,0.6174,0.76566,0.51143,1.20003,0.95857,0.88051,0.0006733,0.0006733,0.0006733
101,561.529,1.05573,0.78861,0.83562,0.76537,0.62381,0.77861,0.51955,1.18581,0.9484,0.87484,0.00067,0.00067,0.00067
102,566.067,1.06354,0.78999,0.82895,0.68177,0.79843,0.79579,0.53272,1.11966,0.91741,0.87049,0.0006667,0.0006667,0.0006667
103,570.808,1.09448,0.8199,0.83389,0.7679,0.75324,0.83626,0.59203,1.13844,0.89321,0.86856,0.0006634,0.0006634,0.0006634
104,575.607,1.08482,0.81393,0.82718,0.77863,0.63703,0.76272,0.51382,1.16055,0.93482,0.86813,0.0006601,0.0006601,0.0006601
105,580.496,1.07048,0.81917,0.8315,0.67097,0.789,0.79174,0.57143,1.13737,0.93587,0.87007,0.0006568,0.0006568,0.0006568
106,585.341,1.04422,0.81221,0.84247,0.71373,0.68605,0.76128,0.50076,1.20261,0.97303,0.86293,0.0006535,0.0006535,0.0006535
107,590.419,1.0968,0.82663,0.83627,0.7296,0.8259,0.84252,0.55543,1.13367,0.91661,0.8618,0.0006502,0.0006502,0.0006502
108,595.334,1.07431,0.80729,0.82352,0.65552,0.64683,0.73789,0.49691,1.28724,1.03772,0.87336,0.0006469,0.0006469,0.0006469
109,600.11,1.05432,0.80355,0.83476,0.81633,0.6613,0.78254,0.57203,1.17711,0.86855,0.86403,0.0006436,0.0006436,0.0006436
110,605.148,1.06708,0.79665,0.82361,0.80979,0.7929,0.85898,0.58404,1.27059,0.89686,0.87638,0.0006403,0.0006403,0.0006403
111,610.23,1.07026,0.79147,0.8286,0.57524,0.67516,0.79934,0.53771,1.08144,0.88662,0.85939,0.000637,0.000637,0.000637
112,615.137,1.07542,0.80784,0.83992,0.6657,0.66078,0.72514,0.50454,1.10609,0.90972,0.86932,0.0006337,0.0006337,0.0006337
113,620.333,1.03694,0.77447,0.83007,0.83225,0.6259,0.79989,0.55048,1.11296,0.89049,0.86532,0.0006304,0.0006304,0.0006304
114,625.063,1.06144,0.76539,0.83456,0.84641,0.59027,0.76328,0.53564,1.10746,0.92976,0.85714,0.0006271,0.0006271,0.0006271
115,630.618,1.03692,0.74609,0.83165,0.63822,0.81436,0.78368,0.52718,1.13004,0.9148,0.85972,0.0006238,0.0006238,0.0006238
116,635.878,1.10097,0.78112,0.83329,0.83363,0.76735,0.82719,0.59006,1.12867,0.85888,0.86485,0.0006205,0.0006205,0.0006205
117,640.905,1.06667,0.77705,0.83819,0.82561,0.61975,0.79717,0.52757,1.17267,0.90919,0.86503,0.0006172,0.0006172,0.0006172
118,645.376,1.04478,0.76024,0.82855,0.65882,0.73442,0.8111,0.55533,1.10353,0.89032,0.8627,0.0006139,0.0006139,0.0006139
119,649.89,1.04173,0.75407,0.83016,0.73401,0.72976,0.83905,0.58844,1.17504,0.91543,0.86505,0.0006106,0.0006106,0.0006106
120,654.454,1.04582,0.74411,0.84191,0.79165,0.65796,0.76822,0.54042,1.1212,0.91846,0.86457,0.0006073,0.0006073,0.0006073
121,659.341,1.08001,0.78848,0.83897,0.72795,0.65473,0.71744,0.47462,1.18409,0.95003,0.86245,0.000604,0.000604,0.000604
122,664.355,1.1109,0.78577,0.83921,0.74193,0.7447,0.83505,0.60911,1.04721,0.82133,0.84455,0.0006007,0.0006007,0.0006007
123,668.96,1.04973,0.73892,0.8269,0.80373,0.73143,0.81251,0.56913,1.14425,0.8544,0.84994,0.0005974,0.0005974,0.0005974
124,673.381,1.01664,0.73415,0.83005,0.75527,0.65611,0.76964,0.56842,1.05761,0.88736,0.85387,0.0005941,0.0005941,0.0005941
125,678.234,0.99369,0.71735,0.82158,0.78667,0.76633,0.82961,0.58925,1.14146,0.81214,0.84858,0.0005908,0.0005908,0.0005908
126,683.068,0.98497,0.7315,0.81896,0.71006,0.75565,0.84983,0.59014,1.12029,0.83796,0.85343,0.0005875,0.0005875,0.0005875
127,687.822,1.06368,0.77113,0.83713,0.81248,0.77397,0.83642,0.57861,1.12629,0.84611,0.85693,0.0005842,0.0005842,0.0005842
128,692.962,0.99257,0.73856,0.81569,0.79563,0.73109,0.82368,0.60138,1.02124,0.86642,0.85098,0.0005809,0.0005809,0.0005809
129,697.467,0.99884,0.71401,0.82642,0.82081,0.75278,0.82027,0.53688,1.13185,0.91875,0.86418,0.0005776,0.0005776,0.0005776
130,701.933,1.04406,0.73351,0.81743,0.80473,0.784,0.8374,0.58361,1.13961,0.85605,0.85685,0.0005743,0.0005743,0.0005743
131,706.416,1.01168,0.74367,0.82824,0.80462,0.61618,0.74744,0.5307,1.06874,0.93648,0.86191,0.000571,0.000571,0.000571
132,710.988,1.03274,0.70565,0.82909,0.69764,0.66913,0.73999,0.48368,1.18689,0.96352,0.86031,0.0005677,0.0005677,0.0005677
133,715.554,1.04763,0.74789,0.8289,0.80382,0.71139,0.83581,0.57808,1.09868,0.88235,0.86541,0.0005644,0.0005644,0.0005644
134,720.241,0.99422,0.73636,0.81662,0.90212,0.74145,0.86466,0.59989,1.05641,0.80637,0.85694,0.0005611,0.0005611,0.0005611
135,724.85,1.02271,0.74584,0.82711,0.82055,0.75785,0.84335,0.58944,1.03853,0.83549,0.85514,0.0005578,0.0005578,0.0005578
136,729.405,0.9851,0.69758,0.82651,0.77904,0.64294,0.79125,0.55755,1.12678,0.86572,0.85972,0.0005545,0.0005545,0.0005545
137,733.927,1.01371,0.73503,0.82915,0.79682,0.74816,0.8124,0.56153,1.29274,0.92637,0.87839,0.0005512,0.0005512,0.0005512
138,738.345,1.03345,0.74267,0.83643,0.81929,0.6616,0.78078,0.54622,1.16084,0.87565,0.87702,0.0005479,0.0005479,0.0005479
139,742.862,0.99602,0.68807,0.8196,0.83642,0.62203,0.7744,0.55871,1.10162,0.88969,0.86449,0.0005446,0.0005446,0.0005446
140,747.506,1.04803,0.7324,0.82568,0.74405,0.71245,0.8152,0.55044,1.15982,0.92397,0.86331,0.0005413,0.0005413,0.0005413
141,751.989,1.02193,0.72346,0.82269,0.8135,0.77983,0.83072,0.56277,1.13955,0.84443,0.8618,0.000538,0.000538,0.000538
142,756.467,1.01839,0.71549,0.82176,0.79347,0.80004,0.83378,0.57214,1.06828,0.79498,0.85198,0.0005347,0.0005347,0.0005347
143,760.76,0.99443,0.69422,0.83681,0.81502,0.7734,0.83394,0.57856,1.07769,0.78677,0.86172,0.0005314,0.0005314,0.0005314
144,765.19,1.04109,0.73422,0.82623,0.84755,0.71407,0.84259,0.57932,1.07077,0.80671,0.84897,0.0005281,0.0005281,0.0005281
145,769.8,0.99711,0.68721,0.81299,0.81168,0.7664,0.81955,0.57878,1.13607,0.83767,0.86173,0.0005248,0.0005248,0.0005248
146,774.496,0.99504,0.69896,0.82928,0.79688,0.74888,0.82618,0.57116,1.13071,0.84129,0.85484,0.0005215,0.0005215,0.0005215
